Positive States,Element,Duration,Effect,Notes,,,,,,,,,,,,,,,,
Distorted Reality,Magic,2 ~ 3,Eva + 30% - Ctr Atk + 20% - Luck * 110% Atk Count + 1,,,,,,,,,,,,,,,,,
Natures Warmth,Nature,Equip Perma,Mhp + MMP * 0.05,,,,,,,,,,,,,,,,,
Earths Blessing,Earth,6 ~ 6,"Def & M.Def * 120% - Hp Rgn + 10% Resist States - Chill, Bleed, Poison - Barrier = 20% Max HP",,,,,,,,,,,,,,,,,Recieve the blessing of the Earth.
Enlightened,Magic,2 ~ 3,"M.Atk & M.Def * 120% - Mgc Eva & MP Rgn + 10% - Resist States - Confusion, Sleep, Fear",,,,,,,,,,,,,,,,,
Blade Dance,Physical,3 ~ 3,Agility & Attack * 108%,,,,,,,,,,,,,,,,,
Defiant,Physical,3 ~ 3,Def & M.Def * 120% - Ctr Atk + 20%,,,,,,,,,,,,,,,,,
Sword Heart,Physical,3 ~ 3,Agility & Atk * 115% - Eva + 5%,,,,,,,,,,,,,,,,,
Butchery,Physical,3 ~ 3,Max HP & Def * 90% - Atk * 115% - Crit & Hit + 5%,,,,,,,,,,,,,,,,,
Rage,Physical,3 ~ 3,Def * 75% - Atk * 130% - Crit + 10% - Hit -5%,,,,,,,,,,,,,,,,,
Berserking Rage,Physical,2 ~ 2 ,Def * 40% - Atk * 180% - Crit + 25% - Hit -10%,,,,,,,,,,,,,,,,,
Energized Defense,Null Element,3 ~ 4,Def & M.Def * 150%,,,,,,,,,,,,,,,,,
Quickened,Wind,2 ~ 3,Agi * 130%,,,,,,,,,,,,,,,,,
Double Or Nothing,Physical,2 ~ 3,Atk Count + 1 - Def * 85%,,,,,,,,,,,,,,,,,
Element Based Invocation,Depends on Element,Fight Duration,Element Dmg Of Spell Element Casted With + 20% ,,,,,,,,,,,,,,,,,
Element Based Evocation,Depends on Element,Fight Duration,Element Rate of Spell Element Casted With * 85%,,,,,,,,,,,,,,,,,
Element Based Conjuration,Depends on Element,6 ~ 6,Mana Cost Of Spells for Element Casted With * 60%,,,,,,,,,,,,,,,,,
Life Breakers Stance,Null Element, Fight Duration,Atk & M.Atk * 125% Hp & MP Rgn -5% - Def & M.Def * 90%,,,,,,,,,,,,,,,,,
Defensive Stance,Physical, Fight Duration,Def * 150% - Atk * 50% Evasion * 105%,,,,,,,,,,,,,,,,,
Valiant Stance,Light, Fight Duration,Atk & M.Atk * 50% - Def & M.Def + 115% - Hp Rgn + 10% Crit -10% - Agi + 10%,,,,,,,,,,,,,,,,,
Sentinel Stance,Physical, Fight Duration,Def * 110% M.Def * 110% Ctr Atk + 15% - Hit + 10% - Crit + 5% Tp Rgn + 10%,,,,,,,,,,,,,,,,,
Protector Stance,Physical, Fight Duration,Max Hp * 500% - Atk & M.Atk * 40% Ctr Atk & Hit * 105% Luck and Tp Rgn * 110%,,,,,,,,,,,,,,,,,
Guards Ward,Null Element,4 ~ 4,Barrier of 10% Max Hp Stacks,,,,,,,,,,,,,,,,,
Bulwark,Earth,2 ~ 3,"Barrier of 35% Max Hp, Stacks",,,,,,,,,,,,,,,,,
Block,Physical, Fight Duration,Blocks 30% of the next Atk.,,,,,,,,,,,,,,,,,
True Block,Earth, Fight Duration,Blocks 100% of the Next Atk or Magic,,,,,,,,,,,,,,,,,
Reflectors Focus,Physical,1 ~ 2,Mgc Ref + 50%,,,,,,,,,,,,,,,,,
Protectors Riposte,Wind,1 ~ 2,Ctr Atk + 50%,,,,,,,,,,,,,,,,,
Aegis Light Guard,Light,4 ~5,Converts 35% Of Damage Recieved into Barrier,,,,,,,,,,,,,,,,,
serpents Insticts,Nature,3 ~ 4,Hit + 10% - Atk * 115%,,,,,,,,,,,,,,,,,
Elemental Evocation,Null Element,2 ~ 3,Mgc Dmg * 115%,,,,,,,,,,,,,,,,,
Apex Predator,Nature,2 ~ 3,Phys Dmg & Mgc Dmg * 115% - Agi * 110% - Crit 5%,,,,,,,,,,,,,,,,,
Abyssal,Darkness,3 ~ 4,HP & Mp Rgn + 5% - Attack Element Darkness,,,,,,,,,,,,,,,,,
Magic Enhanced,Null Element,3 ~ 4,M.Atk & Atk * 110%,,,,,,,,,,,,,,,,,
Dark Flight,Physical,2 ~ 2,Eva + 15% Allows use of Dark Impale,,,,,,,,,,,,,,,,,
Evasion Up,Physical,2 ~ 2,Eva + 15%,,,,,,,,,,,,,,,,,
Mirage Veil,Null Element,2 ~ 3,Increases evasion but lowers defense,,,,,,,,,,,,,,,,,
Sand Armor,Earth,2 ~ 3,Increases defense but lowers agility,,,,,,,,,,,,,,,,,
Solar Empowerment,Light,2 ~ 3,Increases attack and magic attack during daytime,,,,,,,,,,,,,,,,,
Magma Armor,Fire,2 ~ 3,Increases defense and adds fire damage to physical attacks,,,,,,,,,,,,,,,,,
Draconic Might,Null Element,2 ~ 3,"Increases all stats, but decreases each turn",,,,,,,,,,,,,,,,,
Molten Core,Fire,2 ~ 3,Increases fire damage dealt and resistance to fire,,,,,,,,,,,,,,,,,
Frost Armor,Ice,2 ~ 3,Increases defense and adds ice damage to physical attacks,,,,,,,,,,,,,,,,,
Glacial Momentum,Ice,2 ~ 3,"Increases action speed, stacks up to 3 times",,,,,,,,,,,,,,,,,
Hellfire Aura,Fire,2 ~ 3,"Deals fire damage to attackers, increases fire damage dealt",,,,,,,,,,,,,,,,,
reflection,Light,2 ~ 3,Reflects a portion of damage taken back to the attacker,,,,,,,,,,,,,,,,,
Radiant Overload,Light,2 ~ 3,"Greatly increases light damage dealt, but damages the user each turn",,,,,,,,,,,,,,,,,
Reality Anchor,Null Element,2 ~ 3,Increases resistance to non-elemental damage and reduces damage from area-of-effect attacks,,,,,,,,,,,,,,,,,
Ethereal Form,Null Element,2 ~ 3,Greatly increases evasion but decreases defense,,,,,,,,,,,,,,,,,
Primordial Surge,Null Element,2 ~ 3,Increases all elemental damage dealt but decreases physical attack,,,,,,,,,,,,,,,,,
Cosmic Resonance,Null Element,2 ~ 3,Gradually increases magical attack and magical defense,,,,,,,,,,,,,,,,,
Reality Rejection,Null Element,2 ~ 3,Grants immunity to non-elemental damage and status effects,,,,,,,,,,,,,,,,,
Omega Surge,Null Element,2 ~ 3,Dramatically increases all stats but damages the user each turn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Negative States,Element,Duration,Effect,Notes,,,,,,,,,,,,,,,,
Poison,3 ~ 3,Nature,HP Rgn - 10%,,,,,,,,,,,,,,,,,
Blind,2 ~ 3,Darkness,Hit - 50 %,,,,,,,,,,,,,,,,,
Silence,2 ~ 2,Null Element,Seal Skill Type Magic,,,,,,,,,,,,,,,,,
Confusion,2 ~ 4,Null Element,Target attacks anyone,Removed by 50% Dmg,,,,,,,,,,,,,,,,
Fascination,2 ~ 4,Null Element,Target Attacks allys,,,,,,,,,,,,,,,,,
Sleep,3 ~ 5,Darkness,Target cannot move,Removed by 100% dmg,,,,,,,,,,,,,,,,
Bleed,3 ~ 4,Physical,var damage = Math.floor(this.mhp * 0.05); this.gainHp(-damage); - Bleed,,,,,,,,,,,,,,,,,
Burn,2 ~ 2,Fire,HP rgn - 10% - Def & M.Def * 90% - Agi * 97% - Element Rate Fire * 160%,,,,,,,,,,,,,,,,,
Chill,2 ~ 2,Ice,Max Mp * 80% - Tp Rgn Rate -10% - Element Rate Fire * 130%,,,,,,,,,,,,,,,,,
Fear,2 ~ 4,Darkness,Self Crit Rate * 50% - Self Hit * 150% - Atk & M.Atk * 80%,,,,,,,,,,,,,,,,,
Melt,2 ~ 4,Fire,Def & M.Def * 80% - Element Rate Fire * 110%,,,,,,,,,,,,,,,,,
Sun Scar,2 ~ 3,Fire,Max Hp & Agi & Luck * 90% -  Element Rate Fire * 130% - Element Rate Water * 80%,,,,,,,,,,,,,,,,,
Moonblight,2 ~ 3,Null Element,M.Atk * 90% - Mgc Dmg * 90% - M.Def & Max Mp * 85% - Luck * 80% - Mp Rgn -5% - Element Rate Light & Darkness * 130%,,,,,,,,,,,,,,,,,
Shifting Warp,2 ~ 4,Null Element,Eva -15% - Hit -10% - Mp Rgn & Hp Rgn -5% - Tp Charge Rate * 120% - M.Def & Atk * 95% - M.Atk * 105%,,,,,,,,,,,,,,,,,
Hellfire,2 ~ 4,Darkness + Fire,Element Rate Fire & Darkness * 150% - Element Rate Water * 90% - Element Rate Ice * 80% Mgc Eva & Eva -10% - Crit Eva -5% -  Burn * 50% - Melt * 20%,,,,,,,,,,,,,,,,,
Damaged Soul,2 ~ 4,Darkness,MP Rgn -30% - HP Rgn -15% - Def & M.Def * 90% - Fear & Confusion * 20%,,,,,,,,,,,,,,,,,
Elemental Wound,2 ~ 4,Null Element,Element Rate All except Light And Darkness * 150% - Burn & Chill & Poison * 15% - Max Hp & Mp * 90%,,,,,,,,,,,,,,,,,
Accuracy Down,2 ~ 3,Null Element,Hit - 10%,,,,,,,,,,,,,,,,,
Attack Down,2 ~ 3,Null Element,Atk * 90%,,,,,,,,,,,,,,,,,
Defense Down,2 ~ 3,Null Element,Def * 90%,,,,,,,,,,,,,,,,,
Magic Attack Down,2 ~ 3,Null Element,M.Atk * 90%,,,,,,,,,,,,,,,,,
Magic Defense Down,2 ~ 3,Null Element,M.Def * 90%,,,,,,,,,,,,,,,,,
Evasion Down,2 ~ 3,Null Element,Eva - 10%,,,,,,,,,,,,,,,,,
Agility Down,2 ~ 3,Null Element,Crit * 5% -  Agi * 90%,,,,,,,,,,,,,,,,,
Stun,1 ~ 1,Physical,"Stuns the target, success rate 43%",,,,,,,,,,,,,,,,,
Dark Ailment,2 ~ 3,Darkness,Hit & Mgc Eva -5% - Recov * 80%,,,,,,,,,,,,,,,,,
Heavy Bleed,1 ~ 2,Physical,var damage = Math.floor(this.mhp * 0.09); this.gainHp(-damage); - Bleed,,,,,,,,,,,,,,,,,
Weakened,2 ~ 2,Darkness,Def * 120% - Luck * 90%,,,,,,,,,,,,,,,,,
Dizzyness,2 ~ 3,Darkness,Phys & Max Hp & M.Def * 90% - Hit -10%,,,,,,,,,,,,,,,,,
Manifestations,2 ~ 3,Darkness,Crit & M.Eva -10% - Hp Rgn -3% - Darkness * 115%,,,,,,,,,,,,,,,,,
Magic Evasion Down,2 ~ 3,Null Element,M.Eva -15%,,,,,,,,,,,,,,,,,
Scorched,2 ~ 3,Fire,"Damage over time, reduces water resistance",,,,,,,,,,,,,,,,,
Dehydrated,2 ~ 3,Fire,Lowers max HP and agility,,,,,,,,,,,,,,,,,
Time Warp,2 ~ 3,Null Element,Random stat changes each turn,,,,,,,,,,,,,,,,,
Desert Fever,2 ~ 3,Earth,Lowers accuracy and increases damage taken,,,,,,,,,,,,,,,,,
Quicksand Grip,2 ~ 3,Earth,Decreases agility and chance to be immobilized each turn,,,,,,,,,,,,,,,,,
Sunblind,2 ~ 3,Fire,Decreases accuracy and evasion,,,,,,,,,,,,,,,,,
Time Fracture,2 ~ 3,Null Element,Actions have a chance to fail,,,,,,,,,,,,,,,,,
Volcanic Instability,2 ~ 3,Fire,Randomly increases or decreases magic attack each turn,,,,,,,,,,,,,,,,,
Ash Cloud,2 ~ 3,Earth,Decreases accuracy and evasion for all battlers,,,,,,,,,,,,,,,,,
Lava Flow,2 ~ 3,Fire,"Damage over time, chance to be immobilized each turn",,,,,,,,,,,,,,,,,
Crystallized,2 ~ 3,Earth,"Decreases agility, but increases defense",,,,,,,,,,,,,,,,,
Dragonfire,2 ~ 3,Fire,"Damage over time, spreads to nearby allies each turn",,,,,,,,,,,,,,,,,
Hypothermia,2 ~ 3,Ice,Gradually decreases HP and lowers agility,,,,,,,,,,,,,,,,,
Frozen Solid,2 ~ 3,Ice,"Cannot act, but greatly increases defense",,,,,,,,,,,,,,,,,
Soul Freeze,2 ~ 3,Darkness,Prevents MP regeneration and increases MP costs,,,,,,,,,,,,,,,,,
Demonic Possession,2 ~ 3,Darkness,Randomly forces unit to attack allies,,,,,,,,,,,,,,,,,
Soulbound,1~2,Darkness,Shares damage taken with the caster,,,,,,,,,,,,,,,,,
Abyssal Curse,2 ~ 3,Darkness,Reduces max HP and healing received,,,,,,,,,,,,,,,,,
Void Touched,2 ~ 3,Darkness,Randomly nullifies buffs or healing,,,,,,,,,,,,,,,,,
Memory Lapse,2 ~ 3,Light,Randomly prevents the use of skills or items,,,,,,,,,,,,,,,,,
Light Siphon,2 ~ 3,Light,Converts a portion of healing received into damage,,,,,,,,,,,,,,,,,
Elemental Chaos,2 ~ 3,Null Element,Randomly changes the target's elemental weaknesses each turn,,,,,,,,,,,,,,,,,
Cosmic Drain,2 ~ 3,Null Element,Gradually decreases all stats over time,,,,,,,,,,,,,,,,,
Soul Shatter,2 ~ 3,Null Element,Prevents the use of special abilities and reduces max HP,,,,,,,,,,,,,,,,,
Reality Warp,2 ~ 3,Null Element,Randomly changes the target's equipment effects each turn,,,,,,,,,,,,,,,,,
Void Corruption,2 ~ 3,Darkness,Decreases healing effects and gradually drains MP,,,,,,,,,,,,,,,,,
Covetous Gaze,2 ~ 3,Darkness,Reduces the effectiveness of healing and item use,,,,,,,,,,,,,,,,,
Avaricious Aura,2 ~ 3,Darkness,Reduces the effectiveness of healing and item use,,,,,,,,,,,,,,,,,
Insatiable Hunger,2 ~ 3,Darkness,Gradually decreases max HP and increases damage taken,,,,,,,,,,,,,,,,,
Entropic Lethargy,2 ~ 3,Darkness,Drastically slows action speed and increases skill cooldowns,,,,,,,,,,,,,,,,,
Seductive Charm,2 ~ 3,Darkness,Chance to waste turn attacking allies or using items on enemies,,,,,,,,,,,,,,,,,
Overwhelming Pride,2 ~ 3,Darkness,Increases damage taken from critical hits and weakness exploitation,,,,,,,,,,,,,,,,,
Blinding Arrogance,2 ~ 3,Darkness,"Decreases accuracy and evasion, increases damage from back attacks",,,,,,,,,,,,,,,,,
Chaotic Brilliance,2 ~ 3,Darkness,Randomly enhances or diminishes the power of skills used,,,,,,,,,,,,,,,,,
Temporal Decay,2 ~ 3,Darkness,Gradually decreases all stats over time,,,,,,,,,,,,,,,,,
Void Consumption,2 ~ 3,Darkness,Absorbs a portion of healing and buffs applied to nearby allies,,,,,,,,,,,,,,,,,
Primordial Instability,2 ~ 3,Darkness,Randomly changes elemental affinity and weaknesses each turn,,,,,,,,,,,,,,,,,
Corrupted Divinity,2 ~ 3,Darkness,"Converts a portion of light-based healing into damage Now, let's create the next batch of enemies with their unique states:",,,,,,,,,,,,,,,,,
Conceptual Erasure,2 ~ 3,Null Element,Nullifies one random ability of the target each turn,,,,,,,,,,,,,,,,,
Existential Drain,2 ~ 3,Null Element,"Continuously drains HP, MP, and all stats",,,,,,,,,,,,,,,,,
